,Output
0,13
1,22
2,2
3,18
4,17
5,11
6,22
7,13
8,20
9,6
10,9
11,11
12,14
13,4
14,5
15,6
16,3
17,2
18,13
19,3
20,0
21,9
22,17
23,1
24,4
25,22
26,20
27,23
28,24
29,1
30,23
31,19
32,16
33,20
34,24
35,6
36,1
37,15
38,17
39,16
40,20
41,13
42,15
43,13
44,13
45,13
46,14
47,24
48,0
49,7
50,3
51,22
52,20
53,15
54,16
55,22
56,9
57,5
58,14
59,12
60,2
61,11
62,10
63,0
64,0
65,16
66,20
67,24
68,21
69,24
70,0
71,21
72,8
73,21
74,18
75,15
76,5
77,14
78,19
,precision,recall,f1-score,support
0,0.5,0.7,0.5833333333333334,10.0
1,0.25,0.25,0.25,8.0
2,0.6666666666666666,0.8,0.7272727272727272,10.0
3,0.3333333333333333,0.25,0.28571428571428575,8.0
4,0.2727272727272727,0.375,0.3157894736842105,8.0
5,0.375,0.375,0.375,8.0
6,0.25,0.2,0.22222222222222224,10.0
7,0.6666666666666666,0.4444444444444444,0.5333333333333333,9.0
8,0.5555555555555556,0.5,0.5263157894736842,10.0
9,0.2727272727272727,0.3,0.28571428571428564,10.0
10,0.38461538461538464,0.5,0.4347826086956522,10.0
11,0.7,0.7,0.7,10.0
12,0.46153846153846156,0.6,0.5217391304347826,10.0
13,0.3,0.3,0.3,10.0
14,0.3,0.3,0.3,10.0
15,0.375,0.3,0.33333333333333326,10.0
16,0.6,0.3,0.4,10.0
17,0.5714285714285714,0.4,0.47058823529411764,10.0
18,0.3,0.3333333333333333,0.3157894736842105,9.0
19,0.5555555555555556,0.625,0.5882352941176471,8.0
20,0.5384615384615384,0.875,0.6666666666666667,8.0
21,0.16666666666666666,0.125,0.14285714285714288,8.0
22,0.6666666666666666,0.6666666666666666,0.6666666666666666,9.0
23,0.5,0.25,0.3333333333333333,8.0
24,0.7142857142857143,0.625,0.6666666666666666,8.0
25,0.18181818181818182,0.2222222222222222,0.19999999999999998,9.0
accuracy,0.4369747899159664,0.4369747899159664,0.4369747899159664,0.4369747899159664
macro avg,0.44071975033513494,0.43525641025641026,0.42866746163455005,238.0
weighted avg,0.44268875382320755,0.4369747899159664,0.43062699506394486,238.0
