,Output
0,13
1,0
2,2
3,8
4,17
5,11
6,17
7,22
8,11
9,14
10,9
11,11
12,8
13,2
14,10
15,13
16,8
17,2
18,0
19,14
20,0
21,9
22,17
23,8
24,17
25,11
26,8
27,17
28,8
29,14
30,13
31,10
32,14
33,10
34,10
35,14
36,8
37,15
38,14
39,9
40,10
41,13
42,13
43,10
44,17
45,10
46,14
47,17
48,0
49,7
50,8
51,11
52,13
53,14
54,14
55,0
56,9
57,17
58,14
59,12
60,6
61,11
62,10
63,17
64,6
65,6
66,14
67,12
68,0
69,13
70,14
71,13
72,8
73,22
74,6
75,10
76,17
77,6
78,8
,precision,recall,f1-score,support
0,0.4375,0.7,0.5384615384615384,10.0
1,0.0,0.0,0.0,8.0
2,0.3076923076923077,0.8,0.4444444444444444,10.0
3,0.0,0.0,0.0,8.0
4,0.0,0.0,0.0,8.0
5,0.0,0.0,0.0,8.0
6,0.5,0.6,0.5454545454545454,10.0
7,0.0,0.0,0.0,9.0
8,0.29411764705882354,1.0,0.45454545454545453,10.0
9,0.35294117647058826,0.6,0.4444444444444445,10.0
10,0.43478260869565216,1.0,0.6060606060606061,10.0
11,0.75,0.9,0.8181818181818182,10.0
12,0.36363636363636365,0.4,0.380952380952381,10.0
13,0.25,0.5,0.3333333333333333,10.0
14,0.21428571428571427,0.6,0.3157894736842105,10.0
15,0.5,0.4,0.4444444444444445,10.0
16,1.0,0.2,0.33333333333333337,10.0
17,0.2608695652173913,0.6,0.36363636363636365,10.0
18,0.0,0.0,0.0,9.0
19,0.0,0.0,0.0,8.0
20,0.0,0.0,0.0,8.0
21,0.0,0.0,0.0,8.0
22,1.0,0.5555555555555556,0.7142857142857143,9.0
23,0.0,0.0,0.0,8.0
24,0.0,0.0,0.0,8.0
25,0.0,0.0,0.0,9.0
accuracy,0.3697478991596639,0.3697478991596639,0.3697478991596639,0.3697478991596639
macro avg,0.25637789934834004,0.34059829059829055,0.2591295344331782,238.0
weighted avg,0.2758750160948253,0.3697478991596639,0.28008148419470846,238.0
