,Output,,,,,,,,,,
0,13,,,precision    recall  f1-score   support,,,,,,,
1,12,,,,,,,,,,
2,2,,,           0       0.70      0.70      0.70        10,,,,,,,0.432773109
3,18,,,           1       0.50      0.25      0.33         8,,,,,,,0.53164557
4,17,,,           2       0.56      0.90      0.69        10,,,,,,,
5,18,,,           3       0.50      0.38      0.43         8,,,,,,,
6,13,,,           4       0.33      0.50      0.40         8,,,,,,,
7,24,,,           5       0.20      0.25      0.22         8,,,,,,,
8,20,,,           6       0.57      0.40      0.47        10,,,,,,,
9,6,,,           7       0.50      0.56      0.53         9,,,,,,,
10,9,,,           8       0.45      0.50      0.48        10,,,,,,,
11,11,,,           9       0.00      0.00      0.00        10,,,,,,,
12,23,,,          10       0.64      0.70      0.67        10,,,,,,,
13,4,,,          11       0.64      0.90      0.75        10,,,,,,,
14,5,,,          12       0.67      0.40      0.50        10,,,,,,,
15,6,,,          13       0.25      0.20      0.22        10,,,,,,,
16,8,,,          14       0.33      0.30      0.32        10,,,,,,,
17,2,,,          15       0.38      0.50      0.43        10,,,,,,,
18,7,,,          16       0.12      0.10      0.11        10,,,,,,,
19,14,,,,,,,,,,
20,0,,,accuracy                           0.43       238,,,,,,,
21,8,,,   macro avg       0.43      0.43      0.42       238,,,,,,,
22,17,,,weighted avg       0.43      0.43      0.42       238,,,,,,,
23,9,,,,,,,,,,
24,4,,,,,,,,,,
25,10,,,,,,,,,,
26,21,,,,,,,,,,
27,23,,,,,,,,,,
28,12,,,,,,,,,,
29,5,,,,,,,,,,
30,23,,,,,,,,,,
31,17,,,,,,,,,,
32,16,,,,,,,,,,
33,13,,,,,,,,,,
34,24,,,,,,,,,,
35,2,,,,,,,,,,
36,19,,,,,,,,,,
37,15,,,,,,,,,,
38,17,,,,,,,,,,
39,25,,,,,,,,,,
40,11,,,,,,,,,,
41,13,,,,,,,,,,
42,15,,,,,,,,,,
43,10,,,,,,,,,,
44,16,,,,,,,,,,
45,22,,,,,,,,,,
46,14,,,,,,,,,,
47,24,,,,,,,,,,
48,0,,,,,,,,,,
49,7,,,,,,,,,,
50,3,,,,,,,,,,
51,20,,,,,,,,,,
52,20,,,,,,,,,,
53,15,,,,,,,,,,
54,14,,,,,,,,,,
55,23,,,,,,,,,,
56,9,,,,,,,,,,
57,4,,,,,,,,,,
58,14,,,,,,,,,,
59,24,,,,,,,,,,
60,2,,,,,,,,,,
61,11,,,,,,,,,,
62,0,,,,,,,,,,
63,0,,,,,,,,,,
64,12,,,,,,,,,,
65,14,,,,,,,,,,
66,20,,,,,,,,,,
67,12,,,,,,,,,,
68,21,,,,,,,,,,
69,24,,,,,,,,,,
70,25,,,,,,,,,,
71,21,,,,,,,,,,
72,9,,,,,,,,,,
73,21,,,,,,,,,,
74,18,,,,,,,,,,
75,15,,,,,,,,,,
76,4,,,,,,,,,,
77,14,,,,,,,,,,
78,19,,,,,,,,,,
