,Output
0,13
1,7
2,2
3,18
4,17
5,11
6,23
7,22
8,20
9,2
10,9
11,11
12,5
13,4
14,5
15,6
16,8
17,2
18,0
19,16
20,0
21,25
22,17
23,19
24,1
25,21
26,8
27,24
28,12
29,3
30,23
31,10
32,16
33,10
34,10
35,6
36,19
37,15
38,15
39,16
40,11
41,13
42,1
43,13
44,7
45,10
46,14
47,24
48,0
49,7
50,3
51,22
52,20
53,3
54,14
55,25
56,9
57,15
58,14
59,7
60,2
61,11
62,7
63,0
64,6
65,6
66,20
67,12
68,12
69,24
70,22
71,21
72,8
73,21
74,18
75,15
76,17
77,6
78,19
,precision,recall,f1-score,support
0,0.8,0.8,0.8000000000000002,10.0
1,0.8333333333333334,0.625,0.7142857142857143,8.0
2,1.0,1.0,1.0,10.0
3,1.0,0.625,0.7692307692307693,8.0
4,0.8571428571428571,0.75,0.7999999999999999,8.0
5,0.5555555555555556,0.625,0.5882352941176471,8.0
6,0.8181818181818182,0.9,0.8571428571428572,10.0
7,0.8571428571428571,0.6666666666666666,0.75,9.0
8,1.0,1.0,1.0,10.0
9,0.8,0.8,0.8000000000000002,10.0
10,1.0,1.0,1.0,10.0
11,0.9090909090909091,1.0,0.9523809523809523,10.0
12,1.0,0.9,0.9473684210526316,10.0
13,0.6,0.6,0.6,10.0
14,0.9,0.9,0.9,10.0
15,0.7142857142857143,1.0,0.8333333333333333,10.0
16,0.8181818181818182,0.9,0.8571428571428572,10.0
17,1.0,1.0,1.0,10.0
18,1.0,0.8888888888888888,0.9411764705882353,9.0
19,0.875,0.875,0.875,8.0
20,0.875,0.875,0.875,8.0
21,0.4166666666666667,0.625,0.5,8.0
22,1.0,0.8888888888888888,0.9411764705882353,9.0
23,1.0,0.875,0.9333333333333333,8.0
24,0.875,0.875,0.875,8.0
25,1.0,1.0,1.0,9.0
accuracy,0.8529411764705882,0.8529411764705882,0.8529411764705882,0.8529411764705882
macro avg,0.865560828060828,0.845940170940171,0.8503771720460218,238.0
weighted avg,0.868123006778469,0.8529411764705882,0.8554854687766986,238.0
