,Output
0,13
1,22
2,2
3,18
4,17
5,18
6,23
7,22
8,20
9,2
10,9
11,11
12,24
13,4
14,5
15,6
16,8
17,2
18,12
19,16
20,0
21,25
22,17
23,9
24,1
25,21
26,8
27,23
28,8
29,3
30,23
31,10
32,16
33,10
34,23
35,6
36,19
37,15
38,3
39,16
40,11
41,13
42,1
43,13
44,7
45,10
46,14
47,24
48,0
49,7
50,3
51,22
52,20
53,3
54,14
55,25
56,9
57,17
58,14
59,7
60,2
61,11
62,7
63,22
64,6
65,6
66,20
67,12
68,1
69,24
70,22
71,21
72,8
73,22
74,18
75,15
76,17
77,6
78,19
,precision,recall,f1-score,support
0,0.6363636363636364,0.7,0.6666666666666666,10.0
1,0.8333333333333334,0.625,0.7142857142857143,8.0
2,1.0,1.0,1.0,10.0
3,0.875,0.875,0.875,8.0
4,1.0,0.625,0.7692307692307693,8.0
5,0.45454545454545453,0.625,0.5263157894736842,8.0
6,0.7142857142857143,1.0,0.8333333333333333,10.0
7,0.6,0.6666666666666666,0.631578947368421,9.0
8,0.7692307692307693,1.0,0.8695652173913044,10.0
9,0.5454545454545454,0.6,0.5714285714285713,10.0
10,0.9090909090909091,1.0,0.9523809523809523,10.0
11,0.6923076923076923,0.9,0.7826086956521738,10.0
12,0.6666666666666666,0.8,0.7272727272727272,10.0
13,0.6666666666666666,0.6,0.631578947368421,10.0
14,1.0,0.8,0.888888888888889,10.0
15,0.9,0.9,0.9,10.0
16,1.0,0.7,0.8235294117647058,10.0
17,0.75,0.9,0.8181818181818182,10.0
18,1.0,0.6666666666666666,0.8,9.0
19,1.0,0.5,0.6666666666666666,8.0
20,0.8333333333333334,0.625,0.7142857142857143,8.0
21,0.5714285714285714,0.5,0.5333333333333333,8.0
22,0.6666666666666666,0.8888888888888888,0.761904761904762,9.0
23,0.8,0.5,0.6153846153846154,8.0
24,0.8888888888888888,1.0,0.9411764705882353,8.0
25,1.0,0.8888888888888888,0.9411764705882353,9.0
accuracy,0.773109243697479,0.773109243697479,0.773109243697479,0.773109243697479
macro avg,0.7989716480101096,0.7648504273504273,0.7675297878246045,238.0
weighted avg,0.7981214397180784,0.773109243697479,0.771898010537976,238.0
