0 0 | 0 2 4 1 3 7 5 6 
2 1 | 2 0 4 1 3 7 5 6 
7 2 | 2 7 4 1 3 0 5 6 
0 5 | 2 7 4 1 3 0 5 6 
7 6 | 2 0 4 1 3 7 5 6 
4 7 | 2 4 0 1 3 7 5 6 
1 8 | 2 4 1 0 3 7 5 6 
2 9 | 0 4 1 2 3 7 5 6 
6 12 | 6 4 1 2 3 7 5 0 
2 13 | 6 4 1 0 3 7 5 2 
6 14 | 0 4 1 6 3 7 5 2 
4 15 | 4 0 1 6 3 7 5 2 
7 16 | 4 7 1 6 3 0 5 2 
5 17 | 4 7 1 6 3 5 0 2 
1 18 | 4 7 0 6 3 5 1 2 
7 19 | 4 0 7 6 3 5 1 2 
5 20 | 4 5 7 6 3 0 1 2 
3 21 | 4 5 7 6 0 3 1 2 
2 22 | 4 5 7 6 2 3 1 0 
6 23 | 4 5 7 0 2 3 1 6 
7 25 | 4 5 0 7 2 3 1 6 
25 0.3942866325378418
